cod_ibge;Municipio;Ano;Grupos Numero;Grupos;População
3507506;Botucatu;2022;3;Alto;145023
3507506;Botucatu;2024;3;Alto;147398
3507605;Bragança Paulista;2014;2;Médio;154253
3507605;Bragança Paulista;2016;2;Médio;157759
3507605;Bragança Paulista;2018;3;Alto;160840
3507605;Bragança Paulista;2020;3;Alto;163980
3507605;Bragança Paulista;2022;3;Alto;176582
3507605;Bragança Paulista;2024;3;Alto;181347
3507704;Braúna;2014;2;Médio;5244
3507704;Braúna;2016;3;Alto;5353
3507704;Braúna;2018;3;Alto;5452
3507704;Braúna;2020;3;Alto;5552
3507704;Braúna;2022;2;Médio;5354
3507704;Braúna;2024;2;Médio;5369
3507753;Brejo Alegre;2014;3;Alto;2656
3507753;Brejo Alegre;2016;2;Médio;2695
3507753;Brejo Alegre;2018;2;Médio;2732
3507753;Brejo Alegre;2020;2;Médio;2768
3507753;Brejo Alegre;2022;1;Baixo;2565
3507753;Brejo Alegre;2024;2;Médio;2560
3507803;Brodowski;2014;2;Médio;22349
3507803;Brodowski;2016;2;Médio;22927
3507803;Brodowski;2018;3;Alto;23430
3507803;Brodowski;2020;2;Médio;23943
3507803;Brodowski;2022;2;Médio;25170
3507803;Brodowski;2024;3;Alto;25727
3507902;Brotas;2014;1;Baixo;22542
3507902;Brotas;2016;2;Médio;23003
3507902;Brotas;2018;3;Alto;23423
3507902;Brotas;2020;3;Alto;23850
3507902;Brotas;2022;2;Médio;23881
3507902;Brotas;2024;3;Alto;24154
3508009;Buri;2014;1;Baixo;18957
3508009;Buri;2016;1;Baixo;19181
3508009;Buri;2018;1;Baixo;19428
3508009;Buri;2020;2;Médio;19678
3508009;Buri;2022;1;Baixo;20238
3508009;Buri;2024;2;Médio;20461
3508108;Buritama;2014;2;Médio;15921
3508108;Buritama;2016;3;Alto;16160
3508108;Buritama;2018;3;Alto;16377
3508108;Buritama;2020;3;Alto;16596
3508108;Buritama;2022;3;Alto;17197
3508108;Buritama;2024;3;Alto;17395
3508207;Buritizal;2014;2;Médio;4160
3508207;Buritizal;2016;2;Médio;4211
3508207;Buritizal;2018;3;Alto;4259
