"cod_ibge";"municipio";"ano";"riqueza";"riqueza_estado";"longevidade";"longevidade_estado";"escolaridade";"escolaridade_estado";"IPDM";"IPDM_estado";"media"
3503406;"Arealva";2016;0,298;0,438;0,752;0,717;0,549;0,511;0,533;0,555;1
3503406;"Arealva";2018;0,366;0,451;0,774;0,721;0,624;0,563;0,588;0,578;0
3503406;"Arealva";2020;0,368;0,439;0,714;0,722;0,559;0,594;0,547;0,585;1
3503406;"Arealva";2022;0,348;0,441;0,746;0,697;0,488;0,556;0,527;0,565;1
3503406;"Arealva";2024;0,377;0,464;0,794;0,716;0,65;0,569;0,607;0,583;0
3503505;"Areias";2014;0,215;0,457;0,511;0,698;0,339;0,449;0,355;0,535;1
3503505;"Areias";2016;0,212;0,438;0,564;0,717;0,376;0,511;0,384;0,555;1
3503505;"Areias";2018;0,241;0,451;0,628;0,721;0,44;0,563;0,436;0,578;1
3503505;"Areias";2020;0,248;0,439;0,735;0,722;0,433;0,594;0,472;0,585;1
3503505;"Areias";2022;0,24;0,441;0,666;0,697;0,369;0,556;0,425;0,565;1
3503505;"Areias";2024;0,28;0,464;0,694;0,716;0,458;0,569;0,477;0,583;1
3503604;"Areiópolis";2014;0,278;0,457;0,752;0,698;0,357;0,449;0,462;0,535;1
3503604;"Areiópolis";2016;0,269;0,438;0,602;0,717;0,463;0,511;0,445;0,555;1
3503604;"Areiópolis";2018;0,288;0,451;0,647;0,721;0,541;0,563;0,492;0,578;1
3503604;"Areiópolis";2020;0,277;0,439;0,655;0,722;0,489;0,594;0,474;0,585;1
3503604;"Areiópolis";2022;0,283;0,441;0,757;0,697;0,531;0,556;0,524;0,565;1
3503604;"Areiópolis";2024;0,297;0,464;0,699;0,716;0,594;0,569;0,53;0,583;1
3503703;"Ariranha";2014;0,459;0,457;0,797;0,698;0,545;0,449;0,6;0,535;0
3503703;"Ariranha";2016;0,43;0,438;0,683;0,717;0,66;0,511;0,591;0,555;0
3503703;"Ariranha";2018;0,435;0,451;0,751;0,721;0,638;0,563;0,608;0,578;0
3503703;"Ariranha";2020;0,423;0,439;0,719;0,722;0,695;0,594;0,612;0,585;0
3503703;"Ariranha";2022;0,43;0,441;0,774;0,697;0,638;0,556;0,614;0,565;0
3503703;"Ariranha";2024;0,458;0,464;0,777;0,716;0,706;0,569;0,647;0,583;0
3503802;"Artur Nogueira";2014;0,338;0,457;0,759;0,698;0,521;0,449;0,539;0,535;0
3503802;"Artur Nogueira";2016;0,31;0,438;0,692;0,717;0,559;0,511;0,52;0,555;1
3503802;"Artur Nogueira";2018;0,328;0,451;0,743;0,721;0,592;0,563;0,554;0,578;1
3503802;"Artur Nogueira";2020;0,328;0,439;0,742;0,722;0,658;0,594;0,576;0,585;1
3503802;"Artur Nogueira";2022;0,387;0,441;0,729;0,697;0,562;0,556;0,559;0,565;1
3503802;"Artur Nogueira";2024;0,354;0,464;0,796;0,716;0,582;0,569;0,577;0,583;1
3503901;"Arujá";2014;0,431;0,457;0,623;0,698;0,442;0,449;0,499;0,535;1
3503901;"Arujá";2016;0,416;0,438;0,666;0,717;0,49;0,511;0,524;0,555;1
3503901;"Arujá";2018;0,44;0,451;0,643;0,721;0,575;0,563;0,553;0,578;1
3503901;"Arujá";2020;0,451;0,439;0,663;0,722;0,6;0,594;0,571;0,585;1
3503901;"Arujá";2022;0,453;0,441;0,675;0,697;0,562;0,556;0,563;0,565;1
